9580,2464,-4528,-6240
9607,2448,-4496,-6128
9634,2560,-4272,-5856
9661,2768,-4304,-5712
9689,2512,-4496,-5056
9716,2528,-4000,-6352
9743,2176,-4160,-6160
9770,2256,-3888,-5392
9797,2368,-4096,-4768
9824,1248,-3488,-4576
9851,1424,-5152,-4688
9878,1536,-5776,-4688
9905,1232,-5408,-3936
9932,704,-5824,-4144
9958,336,-6512,-4560
9984,-144,-5824,-4336
10011,-192,-6448,-4544
10040,-800,-7120,-5008
10068,-1392,-9552,-5088
10097,-1696,-9504,-4688
10126,-1840,-9968,-4688
10155,-1392,-9424,-4336
10184,-976,-8320,-3376
10212,-960,-8032,-2880
10241,-736,-7552,-2560
10269,-736,-7312,-2496
10297,-1056,-6848,-2416
10326,-1168,-6480,-2176
10355,-1440,-6560,-2048
10384,-1600,-6944,-1888
10414,-1792,-6160,-1472
10443,-1952,-4896,-1152
10472,-2320,-4192,-848
10500,-2976,-4192,-608
10528,-3536,-4416,-352
10556,-4160,-4352,-432
10584,-5008,-3792,-560
10612,-5232,-3536,-496
10641,-8128,-4080,-256
10669,-10336,-4736,224
10697,-11152,-6496,480
10725,-10880,-8000,0
10751,-9728,-8064,256
10778,-7856,-5888,576
10805,-7744,-2528,288
10832,-8560,-1504,64
10858,-8592,-2240,-176
10886,-7472,-2896,592
10914,-7040,-3248,416
10941,-6448,-3488,544
10968,-6096,-4176,576
10995,-6208,-4544,336
11022,-6304,-4688,352
11049,-6464,-4448,368
11076,-6672,-4256,336
11103,-7056,-4192,352
11130,-7632,-4128,480
11157,-7760,-3968,448
11184,-7632,-3648,416
11211,-7568,-3344,528
11239,-7584,-3248,464
11266,-7408,-3536,400
11293,-7280,-3584,304
11320,-7232,-3536,352
11347,-7088,-3648,256
11374,-6992,-3520,112
11401,-6720,-3568,544
11428,-6976,-3664,368
11455,-6976,-3600,480
11482,-6928,-3520,320
11509,-6864,-3440,432
11536,-6896,-3408,272
11564,-6960,-3440,320
11591,-6960,-3472,352
11618,-6928,-3520,384
11645,-7008,-3568,400
11672,-6976,-3616,400
11699,-6912,-3696,448
11726,-6800,-3728,400
11753,-6992,-3872,464
11780,-7136,-3872,512
11807,-7200,-3920,528
11834,-7216,-3856,560
11861,-7232,-3856,576
11889,-7184,-3808,432
11916,-7184,-3872,480
11943,-7104,-3984,544
